crop_name,disease_name,crop_info,disease_description,cure,,,,,,,,
Apple,Apple_scab,Apple is a long-living temperate fruit crop cultivated in cool to moderate climates with sufficient chilling hours. It grows best in deep,fertile,well-drained loamy soil with a slightly acidic to neutral pH. Proper orchard management including pruning,training,irrigation scheduling,nutrient management,and pest control is essential for high fruit yield and quality. Apples require adequate sunlight,regular monitoring,and seasonal care to remain productive.,Apple scab is a fungal disease causing dark scab-like lesions on leaves and fruits under cool and moist conditions.,Remove infected plant parts and apply recommended fungicides with proper sanitation.
Apple,Black_rot,Apple is widely grown for its nutritional and commercial importance and requires balanced fertilization,proper spacing,and regular pruning. The crop is sensitive to waterlogging and benefits from good air circulation to reduce disease pressure. Timely irrigation,weed control,and disease surveillance play a vital role in sustaining orchard health.,Black rot is a fungal disease causing black lesions and fruit decay that spreads through infected debris.,Destroy infected fruits and branches and apply suitable fungicides.,,,,
Apple,Cedar_apple_rust,Apple cultivation depends on suitable climate,soil fertility,and effective disease prevention strategies. Trees require seasonal pruning,controlled irrigation,and integrated pest management to ensure consistent fruiting. Maintaining orchard hygiene and avoiding alternate host plants helps reduce disease incidence.,Cedar apple rust produces yellow-orange leaf spots and spreads through wind-borne spores.,Use resistant varieties and apply preventive fungicide sprays.,,,,
Apple,healthy,Apple plants grown under optimal soil,climate,and management conditions show vigorous vegetative growth and uniform fruit development. Adequate nutrient supply,irrigation,and regular orchard monitoring ensure long-term productivity and plant health.,Plant shows no disease symptoms and normal healthy growth.,No treatment required; maintain good agricultural practices.,,,,
Blueberry,healthy,Blueberry is a perennial fruit crop that grows best in acidic soil with a pH between 4.5 and 5.5. It requires well-drained soil rich in organic matter,consistent moisture,and adequate sunlight. Proper mulching,pruning,and nutrient management are essential to maintain plant vigor and high-quality fruit production.,Plant shows no visible disease symptoms.,No treatment required; maintain soil pH and proper care.,,,,
Cherry,(including_sour)_healthy,Cherry is a stone fruit crop requiring fertile,well-drained soil and cool climatic conditions. Trees benefit from regular pruning,proper irrigation,and balanced fertilization to promote healthy flowering and fruit set. Good air circulation and orchard sanitation are important for long-term productivity.,Plant remains free from disease with normal development.,No treatment required; continue proper orchard management.,,,,,
Cherry,(including_sour)_Powdery_mildew,Cherry cultivation requires careful moisture management and proper spacing to reduce humidity around foliage. The crop benefits from regular pruning and monitoring to prevent fungal diseases and maintain healthy growth.,Powdery mildew causes white powdery growth on leaves and shoots.,Apply suitable fungicides and remove affected plant parts.,,,,,,,,
Corn,(maize)_Cercospora_leaf_spot_Gray_leaf_spot,Corn is a major cereal crop grown worldwide under warm climatic conditions. It requires fertile soil with good moisture retention,adequate nitrogen supply,and timely irrigation. Proper crop rotation,residue management,and balanced fertilization are essential to achieve high grain yield and reduce disease pressure.,Gray leaf spot causes rectangular lesions on leaves reducing photosynthesis.,Use resistant varieties and apply fungicides with crop rotation.,,,,
Corn,(maize)_healthy,Corn plants grow best in well-prepared soil with sufficient nutrients and proper plant spacing. Adequate sunlight,water availability,and timely weed control contribute to vigorous growth and high productivity.,Plant shows healthy green leaves and normal growth.,No treatment required; maintain field hygiene.,,,,,,
Corn,(maize)_Northern_Leaf_Blight,Corn cultivation requires regular field monitoring,proper spacing,and balanced fertilizer use. Disease incidence increases under high humidity and continuous cropping without rotation.,Northern leaf blight causes long gray-green lesions on leaves.,Apply recommended fungicides and practice crop rotation.,,,,,,
Corn,(maize)Common_rust,Corn requires warm temperatures and sufficient moisture for optimal growth. Timely planting,resistant hybrids,and nutrient management help reduce disease impact.,Common rust causes reddish-brown pustules on leaves.,Use resistant hybrids and timely fungicide application.,,,,,,
